Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","1992","1992","tonnes","761143","","Official data"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","1993","1993","tonnes","860403","","Official data"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","1994","1994","tonnes","823717","","Official data"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","1995","1995","tonnes","818505","","Official data"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","1996","1996","tonnes","941168","","Official data"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","1997","1997","tonnes","908914","","Official data"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","1998","1998","tonnes","932150","","Official data"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","1999","1999","tonnes","908225","","Official data"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2000","2000","tonnes","960978","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2001","2001","tonnes","1062026","","Official data"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2002","2002","tonnes","973389","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2003","2003","tonnes","830440","","Official data"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2004","2004","tonnes","1082002","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2005","2005","tonnes","970199","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2006","2006","tonnes","794565","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2007","2007","tonnes","1291849","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2008","2008","tonnes","752714","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2009","2009","tonnes","861826","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2010","2010","tonnes","819693","*","Unofficial figure"
